id,cancer_type,guideline_source,guideline_title,version_date,section_heading,chunk_index,page_start,page_end,chunk_text,token_count,url
3e88fda3-931b-4201-a8db-eebb3e1a277c,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,60,10,5,5,The breast after surgery,4,NCCN_pdf/inflammatory-breast-patient.pdf
7606043c-29f2-4300-a27b-043c737f1987,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,64,11,5,5,Other resources,2,NCCN_pdf/inflammatory-breast-patient.pdf
06b9aa5f-5649-4458-8116-eadc1737fa52,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,68,12,5,5,Words to know,3,NCCN_pdf/inflammatory-breast-patient.pdf
1dd2da77-3807-49d9-b5f5-b8ddd0cafdbd,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,72,13,5,5,NCCN Contributors,2,NCCN_pdf/inflammatory-breast-patient.pdf
ccf6680a-97a0-4f0b-8de4-045a16bf6899,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,73,14,5,5,NCCN Cancer Centers,3,NCCN_pdf/inflammatory-breast-patient.pdf
1ce82aba-f515-471e-8c95-3112205471cb,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,76,15,5,9,"Index 4 NCCN Guidelines for Patients® Inflammatory Breast Cancer, 2025 1 About inflammatory breast cancer 5 What is inflammatory breast cancer? 6 What are the parts of the breast? 7 What's in this book? 8 What can you do to get the best care? 5 NCCN Guidelines for Patients® Inflammatory Breast Cancer, 2025 1 About inflammatory breast cancer » What is inflammatory breast cancer? Inflammatory breast cancer (IBC) is a rare, aggressive cancer where cancer cells block lymph vessels in the skin of the breast. This causes the breast to look red and swollen and feel warm to the touch. What is inflammatory breast cancer? Inflammatory breast cancer (IBC) is a type of invasive breast cancer. Most inflammatory breast cancers are invasive ductal carcinomas—cancer that starts in the cells that line the milk ducts and spreads into surrounding tissue. What makes IBC different from other breast cancers is its tendency to invade the drainage channels (lymphatics) of the breast and overlying skin. This causes the breast to rapidly swell with backed up fluid and turn red as if inflamed. Possible signs of IBC: h Peau d’orange (pitted or dimpled appearance of skin) h Skin thickening (skin has an orange-peel texture) h Edema (swelling caused by excess fluid in body tissue) h Erythema (reddening of the skin, usually in patches) Inflammatory breast cancer In inflammatory breast cancer (IBC), cancer cells block lymph vessels in the skin of the breast. This causes the breast to look red and swollen and feel warm to the touch. 6 NCCN Guidelines for Patients® Inflammatory Breast Cancer, 2025 1 About inflammatory breast cancer » What are the parts of the breast? It’s important not to dismiss any strange breast skin changes, including redness, swelling, or feeling warm to the touch. These changes could be an infection, but it’s important to get medical attention right away. Like other breast cancers, IBC can happen in those assigned male at birth. Although there are some differences between those assigned male and those assigned female at birth, treatment is very similar for all genders. What are the parts of the breast? The breast is a gland on the chest. The breast is made of milk ducts, fat, nerves, lymph and blood vessels, ligaments, and other connective tissue. Behind the breast is the pectoral (chest) muscle and ribs. Muscles and ligaments help hold the breast in place. Breast tissue contains glands that can make milk. These milk glands are called lobules. Lobules look like tiny clusters of grapes. Small tubes called ducts connect the lobules to the nipple. The ring of darker breast skin is called the areola. The raised tip within the areola is called the nipple. The nipple-areola complex (NAC) is a term that refers to both parts. Lymph drains from breast tissue into lymph vessels and travels to lymph nodes near your armpit (axilla). Lymph is a clear fluid that gives cells water and food. It also helps to fight germs. Nodes near the armpit are called axillary lymph nodes (ALNs). Cancer cells can travel though lymph and lymph vessels to lymph nodes. Invasive ductal carcinoma Most inflammatory breast cancers (IBCs) are invasive ductal carcinomas. This means that cancer started in the cells that line the milk ducts and has spread into surrounding tissue. 7 NCCN Guidelines for Patients® Inflammatory Breast Cancer, 2025 1 About inflammatory breast cancer » What's in this book? What's in this book? This book is organized into the following chapters: Chapter 2: Testing for IBC provides an overview of tests you might receive, and the role of HER2 status, hormone receptors, genetic cancer risk, and biomarker testing. Chapter 3: Breast cancer staging provides information on how inflammatory breast cancer is staged. Chapter 4: Types of treatment gives a general overview of inflammatory breast cancer treatment and what to expect. Chapter 5: Supportive care gives an overview of what supportive care is and possible side effects of treatment. Chapter 6: Treatment before surgery details specific treatment options based on tumor HER2 and hormone receptor (HR) status. Chapter 7: The breast after surgery offers more information on flat closure and breast reconstruction. Chapter 8: Other resources provides information on patient advocacy groups and where to get help. Why you should read this book Making decisions about cancer care can be stressful. You may need to make tough decisions under pressure about complex choices. The NCCN Guidelines for Patients are trusted by patients and providers. They clearly explain current care recommendations made by respected experts in the field. Recommendations are based on the latest research and practices at leading cancer centers. Cancer care is not the same for everyone. By following expert recommendations for your situation, you are more likely to improve your care and have better outcomes as a result. Use this book as your",800,NCCN_pdf/inflammatory-breast-patient.pdf
709d7b3d-e6d5-40a9-be57-7a1ac6e62a55,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,76,16,9,11,"risk, and biomarker testing. Chapter 3: Breast cancer staging provides information on how inflammatory breast cancer is staged. Chapter 4: Types of treatment gives a general overview of inflammatory breast cancer treatment and what to expect. Chapter 5: Supportive care gives an overview of what supportive care is and possible side effects of treatment. Chapter 6: Treatment before surgery details specific treatment options based on tumor HER2 and hormone receptor (HR) status. Chapter 7: The breast after surgery offers more information on flat closure and breast reconstruction. Chapter 8: Other resources provides information on patient advocacy groups and where to get help. Why you should read this book Making decisions about cancer care can be stressful. You may need to make tough decisions under pressure about complex choices. The NCCN Guidelines for Patients are trusted by patients and providers. They clearly explain current care recommendations made by respected experts in the field. Recommendations are based on the latest research and practices at leading cancer centers. Cancer care is not the same for everyone. By following expert recommendations for your situation, you are more likely to improve your care and have better outcomes as a result. Use this book as your guide to find the information you need to make important decisions. 8 NCCN Guidelines for Patients® Inflammatory Breast Cancer, 2025 1 About inflammatory breast cancer » What can you do to get the best care? What can you do to get the best care? Advocate for yourself. You have an important role to play in your care. In fact, you’re more likely to get the care you want by asking questions and making shared decisions with your care team. Find an oncologist who is willing to spend time answering all your questions. The better you understand the disease and your treatment options, the more informed decisions you can make. Consider seeking the opinion of a breast cancer specialist. The NCCN Guidelines for Patients will help you understand cancer care. With better understanding, you’ll be more prepared to discuss your care with your team and share your concerns. Many people feel more satisfied when they play an active role in their care. You may not know what to ask your care team. That’s common. Each chapter in this book ends with an important section called Questions to ask. These suggested questions will help you get more information on all aspects of your care. Take the next step and keep reading to learn what is the best care for you! The NCCN Guidelines for Patients are seen as a trusted source by researchers, clinicians, and advocates. They set the standard for appropriate and effective breast cancer treatment, making them a good first step for newly diagnosed patients."" “ 9 NCCN Guidelines for Patients® Inflammatory Breast Cancer, 2025 2 Testing for IBC",469,NCCN_pdf/inflammatory-breast-patient.pdf
298608f3-433d-4557-ab58-6feab43e8a7e,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,11,17,11,11,General health tests 12 Fertility (all genders) 13 Blood tests 13 Imaging tests 17 Biopsy 19 HER2 status 19 Hormone receptor status 20 Biomarker testing 22 Genetic cancer risk testing 23 Key points 23 Questions to ask,37,NCCN_pdf/inflammatory-breast-patient.pdf
0c44d726-7063-4d2b-aa16-9d59ec48bccb,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,10,18,12,12,"NCCN Guidelines for Patients® Inflammatory Breast Cancer, 2025 2 Testing for IBC » Treatment planning starts with testing. This chapter presents an overview of the tests you might receive and what to expect. Inflammatory breast cancer (IBC) can be difficult to diagnose. Often, there is no lump that can be felt during a breast exam or seen on a mammogram. Since there is swelling (edema) and redness (erythema) of the breast, IBC can look like an infection. A small skin biopsy of the affected breast area may help diagnose IBC. However, this doesn't Guide 1 Possible tests Medical history and physical exam by multidisciplinary team. Medical photographs will also be taken. Diagnostic mammogram. Ultrasound (US) and breast MRI, as needed. Biopsy with pathology review Complete blood count (CBC), comprehensive metabolic panel (CMP) including liver function tests (LFTs), and alkaline phosphatase (ALP) Determine tumor status including: • Estrogen receptor (ER) and progesterone receptor (PR) hormone receptor (HR) status • HER2 status Address fertility, birth control, and sexual health concerns Genetic counseling and testing if at risk for hereditary breast cancer Imaging: • Chest CT. Contrast might be used. • CT or MRI of abdomen with or without pelvis. Contrast will be used. • Bone scan or FDG-PET/CT For weeks my bra had been feeling uncomfortably tight. I tried to ignore it but then felt sharp, shooting pains and the skin looked 'funny.' It took multiple office visits and finally to a surgeon to learn I had inflammatory breast cancer (IBC). I'm a nurse and didn't know you could have breast cancer without a lump."" “",264,NCCN_pdf/inflammatory-breast-patient.pdf
4c1877b4-7d46-4dc8-b470-fa33c3af4c9c,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,11,19,13,13,"NCCN Guidelines for Patients® Inflammatory Breast Cancer, 2025 2 Testing for IBC » General health tests replace a breast tissue biopsy. IBC is a clinical diagnosis—a biopsy-proven breast cancer with inflammatory features. You can have IBC even if a skin biopsy does not find breast cancer in the lymphatics of the skin. For possible tests see Guide 1. General health tests Medical history A medical history is a record of all health issues and treatments you have had in your life. Be prepared to list any illness or injury and when it happened. Bring a list of old and new medicines and any over-the-counter (OTC) medicines, herbals, or supplements you take. Some supplements interact with and affect medicines that your care team may prescribe. Tell your care team about any symptoms you have. A medical history, sometimes called a health history, will help determine which treatment is best for you. Family history Some cancers and other diseases can run in families. Your doctor will ask about the health history of family members who are blood relatives. This information is called a family history. Ask family members on both sides of your family about their health issues like heart disease, cancer, and diabetes, and at what age they were diagnosed. It’s important to know the specific type of cancer, or where the cancer started, and if it is in multiple locations, and if they had genetic testing. Physical exam During a physical exam, your health care provider may: h Check your temperature, blood pressure, pulse, and breathing rate h Check your height and weight h Listen to your lungs and heart h Look in your eyes, ears, nose, and throat h Feel and apply pressure to parts of your body to see if organs are of normal size, are soft or hard, or cause pain when touched h Examine your breasts to look for clinical changes such as lumps, nipple discharge or bleeding, or skin changes h Feel for enlarged lymph nodes in your neck, underarm, and groin Clinical breast exam Clinical breast exam (CBE) is a physical exam of the bare breast performed by a health care provider to check for lumps or other changes. It is done while you are seated and/or lying down. Your provider should take time to palpate (feel) the entire breast, including the armpit. A nurse or assistant might also be in the room during the exam. Distress screening It is normal to have strong feelings about being diagnosed with cancer and your feelings can also change from day to day and week to week. Talk to your care team and those whom you feel most comfortable about how you are feeling. There are services, people, and medicine that can help you. Support and counseling are",461,NCCN_pdf/inflammatory-breast-patient.pdf
98b0da8a-b107-45b3-a232-0ac05957e729,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,12,20,14,14,"NCCN Guidelines for Patients® Inflammatory Breast Cancer, 2025 2 Testing for IBC » Fertility (all genders) available. Dealing with a cancer diagnosis may sometimes be stressful and may cause distress. Your treatment team will screen your level of distress. This is part of your cancer care. Distress is an unpleasant experience of a mental, physical, social, or spiritual nature. It can affect how you feel, think, and act. Distress might include feelings of sadness, fear, helplessness, worry, anger, and guilt. You may also experience depression, anxiety, and sleep issues. More information on distress can be found in the NCCN Guidelines for Patients: Distress During Cancer Care at NCCN.org/ patientguidelines and on the NCCN Patient Guides for Cancer app. Performance status Performance status (PS) is a person’s general level of fitness and ability to perform daily tasks. Your state of general health might be rated using a PS scale called the Eastern Cooperative Oncology Group (ECOG) score or the Karnofsky Performance Status (KPS). PS is one factor taken into consideration when choosing a treatment plan. Fertility (all genders) Some types of treatment such as chemotherapy can affect fertility, or the ability to have children. If you think you want children in the future, ask your care team how cancer and cancer treatment might change your fertility. To preserve your fertility, you may need to take action before starting cancer treatment. Those who want to have children in the future should be referred to a fertility specialist to discuss the options before starting treatment. Fertility preservation is all about keeping your options open, whether you know you want to have children later in life or aren’t sure at the moment. Fertility and reproductive specialists can help you sort through what may be best for your situation. More information on fertility preservation can be found at NCCN Guidelines for Patients: Adolescent and Young Adult Cancer at NCCN.org/patientguidelines and on the NCCN Patient Guides for Cancer app. Changes in fertility Treatment might cause your fertility to be temporarily or permanently impaired or interrupted. This loss of fertility is related to your age at time of diagnosis, treatment type(s), treatment dose, and treatment length. Talk to your care team about your concerns and if you are planning a pregnancy.",374,NCCN_pdf/inflammatory-breast-patient.pdf
4f668679-8bc4-4d5e-a8f7-31ec4fed928c,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,13,21,15,15,"NCCN Guidelines for Patients® Inflammatory Breast Cancer, 2025 2 Testing for IBC » Blood tests",15,NCCN_pdf/inflammatory-breast-patient.pdf
7727479d-9ec1-48c0-a5e3-5918a0e4c8f5,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,13,22,15,15,"2 Testing for IBC » Blood tests » Imaging tests Preventing pregnancy during treatment Preventing pregnancy during treatment is important. Cancer treatment can affect the ovaries, damage sperm, and hurt a developing baby. Therefore, becoming pregnant or having one's partner become pregnant during treatment should be avoided. Non-hormonal birth control methods such as intrauterine devices (IUDs) and barrier methods are preferred in those with a breast cancer diagnosis. Types of barrier methods include condoms, diaphragms, cervical caps, and the contraceptive sponge. If you are pregnant or breastfeeding at the time of your cancer diagnosis, treatments will need to be avoided. Blood tests Blood tests check for signs of disease and how well organs are working. They require a sample of your blood, which is removed through a needle placed into a vein in your arm. Some blood tests you might have are described next. Alkaline phosphatase Alkaline phosphatase (ALP) is an enzyme found in the blood. High levels of ALP can be a sign cancer has spread to the bone or liver. A bone scan might be performed if you have high levels of ALP. Complete blood count A complete blood count (CBC) measures the levels of red blood cells (RBCs), white blood cells (WBCs), and platelets (PLTs) in your blood. Red blood cells carry oxygen throughout your body, white blood cells fight infection, and platelets control bleeding. Comprehensive metabolic panel A comprehensive metabolic panel (CMP) measures substances in your blood. It provides important information about how well your kidneys and liver are working, among other things. Liver function tests Liver function tests (LFTs) look at the health of your liver by measuring chemicals that are made or processed by the liver. Levels that are too high or low signal that the liver is not working well or that cancer has spread to the liver. Pregnancy test Those who can become pregnant will be given a pregnancy test before treatment begins. Imaging tests Imaging tests take pictures of the inside of your body. Imaging tests show the primary tumor, or where the cancer started, and look for cancer in other parts of the body. A radiologist, a medical expert in interpreting imaging tests, will interpret the test and send a report to your doctor. The imaging tests described on the following pages are not in order of importance. You will not have all of these tests.",396,NCCN_pdf/inflammatory-breast-patient.pdf
bd69e710-981b-4b6a-ba7e-7a4f665e4ecb,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,14,23,16,16,"NCCN Guidelines for Patients® Inflammatory Breast Cancer, 2025 2 Testing for IBC » Imaging tests Bone scan A bone scan can assess if the cancer has spread to the bone. The bone scan uses a radiotracer. A radiotracer is a substance that releases small amounts of radiation. Before the pictures are taken, the tracer will be injected into your vein. It can take a few hours for the tracer to enter your bones. However, the test is quick and painless. A special camera will take pictures of the tracer in your bones as it moves over your body. Areas of bone damage take up more radiotracer than healthy bone and show up as bright spots on the pictures. Bone damage can be caused by cancer, cancer treatment, previous injuries, or other health issues. Contrast material Contrast material is a substance used to improve the quality of the pictures of the inside of the body. It is used to make the pictures clearer. Contrast might be taken by mouth (oral) or given through a vein (IV). Oral contrast does not get absorbed from your intestines and will be passed with your next bowel movements. IV contrast will leave the body in the urine immediately after the test. The types of contrast vary and are different for CT and MRI. Not all imaging tests require contrast, but many do. Tell your care team if you have had allergic reactions to contrast in the past. This is important. You might be given medicines to avoid the effects of those allergies. Contrast might not be used if you have a serious allergy or if your kidneys aren’t working well. What’s the difference between a screening and diagnostic mammogram? A mammogram is a picture of the inside of your breast made using x-rays. During a mammogram, the breast is pressed between 2 plates while you stand in different positions. Multiple x-rays will be taken. A computer combines the x-rays to make detailed pictures. • Screening mammograms are done on a regular basis when there are no signs or symptoms of breast cancer. Results take a few days. • Diagnostic mammograms are used for those who have symptoms such as a lump, pain, nipple thickening or discharge, or those whose breasts have changed shape or size. An ultrasound (US) is often used with a diagnostic mammogram. • Diagnostic mammograms are also used to take a closer look at an abnormal area found in a screening mammogram. • A radiologist will evaluate the diagnostic mammogram while you wait so if additional testing is needed, it can be done right away. • Both types of mammograms use low- dose x-rays to examine the breast. They may use either the standard 2-dimensional (2D) digital mammography or 3-dimensional (3D) mammograms known as tomosynthesis.",463,NCCN_pdf/inflammatory-breast-patient.pdf
0f0f7aab-6ca8-4a86-9627-7b7b09f514d1,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,15,24,17,17,"NCCN Guidelines for Patients® Inflammatory Breast Cancer, 2025 2 Testing for IBC » Imaging tests CT scan A computed tomography (CT or CAT) scan uses x-rays and computer technology to take pictures of the inside of the body. It takes many x-rays of the same body part from different angles. All the images are combined to make one detailed picture. Intravenous (IV) contrast is often used. Diagnostic mammogram A mammogram is a picture of the insides of your breast. The pictures are made using x-rays. A computer combines the x-rays to make detailed pictures. A bilateral mammogram includes pictures of both breasts. Mammogram results are used to plan treatment. Diagnostic mammograms look at specific areas of your breasts, which may not be clearly seen on screening mammograms. They are used to see tumor and the size of the tumor(s). Diagnostic mammograms include extra compression in certain areas of the breast, magnification views, or rolling the breast to image additional areas of the breast. Other tests may include a breast MRI or ultrasound. MRI scan A magnetic resonance imaging (MRI) scan uses radio waves and powerful magnets to take pictures of the inside of the body. It does not use x-rays, which means there is no radiation delivered to your body during the test. Because of the very strong magnets used in the MRI machine, tell the technologist if you have any metal or a pacemaker in your body. During the test, you will likely be asked to hold your breath for 10 to 20 seconds as the technician collects the images. Contrast is often used. Breast MRI If needed, a breast MRI will be done in addition to a mammogram. In a breast MRI, you are positioned face down with your arms overhead.",293,NCCN_pdf/inflammatory-breast-patient.pdf
01a5d2f0-837b-4402-a948-3e3c89ebd7c6,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,16,25,18,18,"NCCN Guidelines for Patients® Inflammatory Breast Cancer, 2025 2 Testing for IBC » Imaging tests A closed MRI has a capsule-like design where the magnet surrounds you. The space is small and enclosed. An open MRI has a magnetic top and bottom, which allows for an opening on each end. Closed MRIs are more common than open MRIs, so if you have claustrophobia (a dread or fear of enclosed spaces), be sure to talk to your care team about it. MRI scans take longer to perform than CT scans. h A breast MRI might be used in addition to a mammogram. You will be positioned face down in the machine with your arms above your head. h A spine or brain MRI can be used to detect breast cancer that has spread (metastasized) to the spine or brain. PET scan A PET (positron emission tomography) scan uses a radioactive drug called a tracer. A tracer is a substance injected into a vein to see where cancer cells are in the body and how much sugar is being taken up by the cancer cells. This gives an idea about how fast the cancer cells are growing. Cancer cells show up as bright spots on PET scans. However, not all tumors will appear on a PET scan. Also, not all bright spots found on the PET scan are cancer. It is normal for the brain, heart, kidneys, and bladder to be bright on PET. Inflammation or infection can also show up as a bright spot. When a PET scan is combined with CT, it is called a PET/CT scan. h An FDG-PET/CT uses a radiotracer called fluorodeoxyglucose (FDG). It is made of fluoride and a simple form of sugar called glucose. You cannot eat or drink for at least 4 hours before the scan. This scan is most helpful when other imaging results are unclear. h A sodium fluoride PET/CT uses a radiotracer made of sodium fluoride. h An FES-PET/CT uses FES, which is a radioactive form of the hormone estrogen. An FES-PET/CT might be used when cancer is estrogen receptor-positive",349,NCCN_pdf/inflammatory-breast-patient.pdf
c12f9663-75e4-45f0-ae76-442359bb9da7,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,(ER+).,26,18,18,"Ultrasound An ultrasound (US) uses high-energy sound waves to form pictures of the inside of the body. This is similar to the sonogram used for pregnancy. A wand-like probe (transducer) will be held and moved on your bare breast using gel. It may also be placed below your armpit. Ultrasound is painless and does not use x-rays, so it can be repeated as needed. Ultrasound is good at showing small areas of cancer that are near the skin. Sometimes, a breast ultrasound or MRI is used to guide a biopsy. Inflammatory breast cancer can be difficult to diagnose. Ask for a referral to a breast specialist, if possible.",108,NCCN_pdf/inflammatory-breast-patient.pdf
44533f15-4be3-48bd-9a2c-187d4423d0c2,Inflammatory Breast,NCCN,NCCN Guidelines for Patients: Inflammatory Breast Cancer,2025-04-10,17,27,19,19,"NCCN Guidelines for Patients® Inflammatory Breast Cancer, 2025 2 Testing for IBC » Biopsy Biopsy A biopsy is the removal of a sample of tissue from your body for testing. A pathologist will examine the biopsy for cancer and write a report called a pathology report. Ask questions about your biopsy results and what it means for your treatment. There are different types of biopsies. Some biopsies are guided using imaging, such as ultrasound or MRI. The primary or main tumor is biopsied first. Other tumors or tumors in different areas may also be biopsied. You may have tissue removed from the breast, lymph nodes, or both. Types of possible biopsies include: h Fine-needle aspiration (FNA) or core biopsy (CB) uses needles of different sizes to remove a sample of tissue or fluid. In a vacuum-assisted core biopsy (VACB), suction is used through a needle to remove the sample using a special vacuum device. h Excisional biopsy removes the entire abnormal area. This is not the preferred type of biopsy, but may be necessary if other methods are not possible or when the biopsy results don’t match the expected findings. An excisional biopsy is usually done under anesthesia in an operating room. h Skin biopsy takes a small sample of inflamed skin on the breast. Before biopsies are performed, usually the area is injected with numbing medicine. A core needle biopsy (CNB) removes more than one tissue sample, but usually through the same area on the breast. The samples are small. The needle is often guided into the tumor with imaging. When mammography is used during a biopsy, it is called a stereotactic needle biopsy. One or more clips may be placed near the breast tumor during a biopsy. The clips are small, painless, and made of metal. They will mark the site for future treatment and imaging. The clips will stay in place until surgery. If the area biopsied is benign, the clip will remain in place to mark the biopsy site on future imaging. The clips cause no problems, even if they are left in place for a long time. You will be able to go through airport security and have an MRI. Axillary lymph node needle biopsy An axillary lymph node (ALN) drains lymph fluid from the breast and nearby areas. In an axillary lymph node biopsy, a sample of lymph node near the armpit (axilla) is biopsied with a needle. This is to determine if abnormal lymph nodes seen on imaging tests contain cancer cells. An ultrasound-guided fine-needle aspiration (US-FNA) or core biopsy will be used. If cancer is found, it is called node positive (node+). A marker may be placed in the node so that it can be identified later if needed.",457,NCCN_pdf/inflammatory-breast-patient.pdf
